Model,Configuration,Final Train MSE,Final Test MSE,Final Dense MSE,Total Time (s),Time per Epoch (s),Epochs
MLP,depth_2_tanh,0.07092408835887909,0.06973026692867279,0.18014463782310486,0.17222905158996582,0.017222905158996583,10
MLP,depth_2_relu,0.44480523467063904,0.42037534713745117,0.543266236782074,0.06238222122192383,0.006238222122192383,10
MLP,depth_2_silu,0.4415284991264343,0.4256235659122467,0.695055365562439,0.16637015342712402,0.0166370153427124,10
MLP,depth_3_tanh,0.055037710815668106,0.053935326635837555,0.20167389512062073,0.19954800605773926,0.019954800605773926,10
MLP,depth_3_relu,0.20770400762557983,0.1852111965417862,0.3847793936729431,0.16085195541381836,0.016085195541381835,10
MLP,depth_3_silu,0.43234097957611084,0.40752682089805603,0.6860421299934387,0.18892788887023926,0.018892788887023927,10
MLP,depth_4_tanh,0.3165716528892517,0.2768200635910034,0.2942807078361511,0.2350168228149414,0.02350168228149414,10
MLP,depth_4_relu,0.039372652769088745,0.038500603288412094,0.1984216719865799,0.21020817756652832,0.02102081775665283,10
MLP,depth_4_silu,0.2439509481191635,0.21503987908363342,0.7730550765991211,0.21958708763122559,0.02195870876312256,10
MLP,depth_5_tanh,0.19173038005828857,0.16990657150745392,0.24696318805217743,0.2701549530029297,0.027015495300292968,10
MLP,depth_5_relu,0.015304280444979668,0.017015082761645317,0.02857869304716587,0.2250669002532959,0.02250669002532959,10
MLP,depth_5_silu,0.012765553779900074,0.012999809347093105,0.03684493154287338,0.23916125297546387,0.023916125297546387,10
MLP,depth_6_tanh,0.03335358202457428,0.028450606390833855,0.2043202519416809,0.2977330684661865,0.029773306846618653,10
MLP,depth_6_relu,0.016581906005740166,0.018568318337202072,0.09655551612377167,0.24198579788208008,0.024198579788208007,10
MLP,depth_6_silu,0.0013478604378178716,0.001615904737263918,0.07478698343038559,0.27489304542541504,0.027489304542541504,10
SIREN,depth_2,1.173922070663025e-10,1.182134251598299e-10,1.250215347914363e-10,0.026379823684692383,0.0026379823684692383,10
SIREN,depth_3,3.441611397647648e-06,3.083132696701796e-06,0.0077593675814569,0.22713422775268555,0.022713422775268555,10
SIREN,depth_4,9.082538781512994e-06,9.014767783810385e-06,0.028654905036091805,0.2571537494659424,0.02571537494659424,10
SIREN,depth_5,1.2429493835952599e-05,1.3065464372630231e-05,1.6326128388755023e-05,0.29154300689697266,0.029154300689697266,10
SIREN,depth_6,2.092406248266343e-07,2.2782832331813552e-07,2.6212069315079134e-07,0.289442777633667,0.0289442777633667,10
KAN,grid_3,0.019630052,0.020353489,,1.1107678413391113,0.11107678413391113,1
KAN,grid_5,0.0061130496,0.005973315,,1.233064889907837,0.1233064889907837,1
KAN,grid_10,0.0017471035,0.0017690945,,1.4241962432861328,0.14241962432861327,1
KAN,grid_20,0.00028704442,0.00026636288,,1.6092112064361572,0.16092112064361572,1
KAN,grid_50,3.7031266e-05,3.7031572e-05,,2.2272918224334717,0.22272918224334717,1
KAN,grid_100,0.0357611,0.036944922,,5.124551296234131,0.5124551296234131,1
KAN_PRUNING,grid_3,0.019630052,0.020353489,,0.9407751560211182,0.09407751560211182,1
KAN_PRUNING,grid_5,0.0061130496,0.005973315,,1.0378987789154053,0.10378987789154052,1
KAN_PRUNING,grid_10,0.0017471035,0.0017690945,,1.222472906112671,0.12224729061126709,1
KAN_PRUNING,grid_20,0.00028704442,0.00026636288,,1.4233829975128174,0.14233829975128173,1
KAN_PRUNING,grid_50,3.7031266e-05,3.7031572e-05,,1.9451017379760742,0.19451017379760743,1
KAN_PRUNING,grid_100,0.0357611,0.036944922,,3.49220609664917,0.34922060966491697,1
KAN_PRUNING,grid_pruned,0.0012788564199581742,0.0013649272732436657,0.12884391844272614,,,1
