Model,Configuration,Final Train MSE,Final Test MSE,Final Dense MSE,Total Time (s),Time per Epoch (s),Epochs
MLP,depth_2_tanh,0.07062658667564392,0.07555919885635376,1.049796223640442,0.17037391662597656,0.017037391662597656,10
MLP,depth_2_relu,0.08011522144079208,0.08450157195329666,0.08712927252054214,0.055212974548339844,0.005521297454833984,10
MLP,depth_2_silu,0.06709691137075424,0.07367506623268127,0.24781647324562073,0.17171525955200195,0.017171525955200197,10
MLP,depth_3_tanh,0.06967673450708389,0.07595323771238327,0.1493101865053177,0.1995692253112793,0.01995692253112793,10
MLP,depth_3_relu,0.06711196154356003,0.06901486963033676,0.07436040788888931,0.14365005493164062,0.014365005493164062,10
MLP,depth_3_silu,0.06666537374258041,0.0733981803059578,0.253475546836853,0.19101428985595703,0.019101428985595702,10
MLP,depth_4_tanh,0.07371000945568085,0.07947621494531631,0.5111027956008911,0.20902419090270996,0.020902419090270997,10
MLP,depth_4_relu,0.07021776586771011,0.07157920300960541,0.1069045439362526,0.19804811477661133,0.01980481147766113,10
MLP,depth_4_silu,0.0554853118956089,0.06318707019090652,0.2795553505420685,0.21675419807434082,0.021675419807434083,10
MLP,depth_5_tanh,0.07758807390928268,0.08131848275661469,0.09886007010936737,0.26390600204467773,0.026390600204467773,10
MLP,depth_5_relu,0.06941171735525131,0.07578583061695099,0.11902227997779846,0.19636201858520508,0.019636201858520507,10
MLP,depth_5_silu,0.068671315908432,0.07559800893068314,0.2006666511297226,0.23830294609069824,0.023830294609069824,10
MLP,depth_6_tanh,0.07288569957017899,0.07849408686161041,0.12196344882249832,0.28022289276123047,0.028022289276123047,10
MLP,depth_6_relu,0.0581602118909359,0.062391284853219986,0.1628643125295639,0.2970860004425049,0.029708600044250487,10
MLP,depth_6_silu,0.05966498702764511,0.06544063985347748,0.19217684864997864,0.2712898254394531,0.027128982543945312,10
SIREN,depth_2,0.06812483817338943,0.0737580731511116,0.11755935102701187,0.08870577812194824,0.008870577812194825,10
SIREN,depth_3,0.01162166427820921,0.016320355236530304,0.03800637274980545,0.2221229076385498,0.022212290763854982,10
SIREN,depth_4,0.007450091652572155,0.011215228587388992,0.01713212952017784,0.25268983840942383,0.025268983840942384,10
SIREN,depth_5,0.0005346017424017191,0.0020847520790994167,0.002012731973081827,0.2896440029144287,0.02896440029144287,10
SIREN,depth_6,0.006604948081076145,0.018026167526841164,0.03237490355968475,0.3123140335083008,0.031231403350830078,10
KAN,grid_3,0.18069607,0.19859324,,1.0622270107269287,0.10622270107269287,1
KAN,grid_5,0.16045615,0.18049783,,1.2460181713104248,0.12460181713104249,1
KAN,grid_10,0.11230243,0.13251297,,1.410933017730713,0.14109330177307128,1
KAN,grid_20,0.062427934,0.08534375,,1.453503131866455,0.1453503131866455,1
KAN,grid_50,0.03401579,0.062013194,,2.4363808631896973,0.24363808631896972,1
KAN,grid_100,0.021273917,0.07144816,,3.7346739768981934,0.37346739768981935,1
KAN_PRUNING,grid_3,0.18069607,0.19859324,,0.8618478775024414,0.08618478775024414,1
KAN_PRUNING,grid_5,0.16045615,0.18049783,,0.9629137516021729,0.09629137516021728,1
KAN_PRUNING,grid_10,0.11230243,0.13251297,,1.1498146057128906,0.11498146057128907,1
KAN_PRUNING,grid_20,0.062427934,0.08534375,,1.2347867488861084,0.12347867488861083,1
KAN_PRUNING,grid_50,0.03401579,0.062013194,,1.8259789943695068,0.18259789943695068,1
KAN_PRUNING,grid_100,0.021273917,0.07144816,,2.854783058166504,0.2854783058166504,1
KAN_PRUNING,grid_pruned,0.0004525795520748943,0.005104840733110905,0.06388475000858307,,,1
