Model,Configuration,Final Train MSE,Final Test MSE,Final Dense MSE,Total Time (s),Time per Epoch (s),Epochs
MLP,depth_2_tanh,0.46779966354370117,0.4690065383911133,0.9073630571365356,0.1031332015991211,0.010313320159912109,10
MLP,depth_2_relu,0.4479847550392151,0.4599895775318146,0.4842546880245209,0.060684919357299805,0.00606849193572998,10
MLP,depth_2_silu,0.4675524830818176,0.4675194025039673,0.6320199370384216,0.1247711181640625,0.01247711181640625,10
MLP,depth_3_tanh,0.40708228945732117,0.4080333113670349,0.48542267084121704,0.19505786895751953,0.019505786895751952,10
MLP,depth_3_relu,0.3718869686126709,0.39635559916496277,0.578549861907959,0.18054819107055664,0.018054819107055663,10
MLP,depth_3_silu,0.4583226442337036,0.46485912799835205,0.8142854571342468,0.18402099609375,0.018402099609375,10
MLP,depth_4_tanh,0.44121262431144714,0.4372687339782715,2.156759738922119,0.20668578147888184,0.020668578147888184,10
MLP,depth_4_relu,0.362941712141037,0.37590765953063965,0.5914512276649475,0.196333646774292,0.0196333646774292,10
MLP,depth_4_silu,0.4106902480125427,0.40327340364456177,0.45213648676872253,0.21299290657043457,0.021299290657043456,10
MLP,depth_5_tanh,0.43089544773101807,0.4286651015281677,0.5933384299278259,0.25191402435302734,0.025191402435302733,10
MLP,depth_5_relu,0.40807974338531494,0.4202064573764801,0.45940741896629333,0.17933201789855957,0.017933201789855958,10
MLP,depth_5_silu,0.2588168680667877,0.2527735233306885,3.9048879146575928,0.23872804641723633,0.023872804641723634,10
MLP,depth_6_tanh,0.4739181399345398,0.47514989972114563,0.6876146793365479,0.19112610816955566,0.019112610816955568,10
MLP,depth_6_relu,0.45081281661987305,0.45996326208114624,0.47110190987586975,0.21480989456176758,0.02148098945617676,10
MLP,depth_6_silu,0.35905420780181885,0.36039164662361145,0.6118313670158386,0.2591128349304199,0.025911283493041993,10
SIREN,depth_2,0.4536712169647217,0.448935866355896,0.5090600848197937,0.0833899974822998,0.008338999748229981,10
SIREN,depth_3,0.0004003910580649972,0.0004131222958676517,0.0004186301666777581,0.2166290283203125,0.02166290283203125,10
SIREN,depth_4,0.0010923863155767322,0.001125506591051817,0.048288844525814056,0.24068689346313477,0.024068689346313475,10
SIREN,depth_5,0.0018765970598906279,0.0020153773948550224,0.06290685385465622,0.28371214866638184,0.028371214866638184,10
SIREN,depth_6,1.54224326252006e-05,1.5372348570963368e-05,2.1842948626726866e-05,0.3264157772064209,0.03264157772064209,10
KAN,grid_3,0.6400142,0.64183235,,1.0143496990203857,0.10143496990203857,1
KAN,grid_5,0.098109074,0.10657111,,1.2001957893371582,0.12001957893371581,1
KAN,grid_10,0.029620975,0.03074286,,1.4271471500396729,0.1427147150039673,1
KAN,grid_20,0.007927327,0.008597649,,1.8135061264038086,0.18135061264038085,1
KAN,grid_50,0.00085058575,0.00096234493,,1.9753749370574951,0.19753749370574952,1
KAN,grid_100,0.0007701984,0.00092651654,,3.9070870876312256,0.3907087087631226,1
KAN_PRUNING,grid_3,0.6400142,0.64183235,,0.8890831470489502,0.08890831470489502,1
KAN_PRUNING,grid_5,0.098109074,0.10657111,,1.0801270008087158,0.10801270008087158,1
KAN_PRUNING,grid_10,0.029620975,0.03074286,,1.2285077571868896,0.12285077571868896,1
KAN_PRUNING,grid_20,0.007927327,0.008597649,,1.281770944595337,0.12817709445953368,1
KAN_PRUNING,grid_50,0.00085058575,0.00096234493,,1.94865083694458,0.194865083694458,1
KAN_PRUNING,grid_100,0.0007701984,0.00092651654,,3.268155813217163,0.3268155813217163,1
KAN_PRUNING,grid_pruned,3.697907959576696e-05,3.873743480653502e-05,0.06235460191965103,,,1
