Model,Configuration,Final Train MSE,Final Test MSE,Final Dense MSE,Total Time (s),Time per Epoch (s),Epochs
MLP,depth_2_tanh,0.44406256079673767,0.4637224078178406,0.8074131608009338,0.16654205322265625,0.016654205322265626,10
MLP,depth_2_relu,0.432312548160553,0.450968474149704,0.6430668234825134,0.04925107955932617,0.0049251079559326175,10
MLP,depth_2_silu,0.4441104531288147,0.4618571698665619,0.7849327325820923,0.16579675674438477,0.016579675674438476,10
MLP,depth_3_tanh,0.32048508524894714,0.3406921327114105,0.6336068511009216,0.21281003952026367,0.021281003952026367,10
MLP,depth_3_relu,0.31725215911865234,0.32473039627075195,0.4387938976287842,0.15562701225280762,0.015562701225280761,10
MLP,depth_3_silu,0.4041430950164795,0.42998260259628296,0.5114262700080872,0.18025922775268555,0.018025922775268554,10
MLP,depth_4_tanh,0.45059630274772644,0.4751829206943512,0.710174560546875,0.2225189208984375,0.02225189208984375,10
MLP,depth_4_relu,0.312387079000473,0.31206417083740234,0.4318564832210541,0.10372591018676758,0.010372591018676759,10
MLP,depth_4_silu,0.2746888995170593,0.2888486385345459,0.4595182538032532,0.21112799644470215,0.021112799644470215,10
MLP,depth_5_tanh,0.358376145362854,0.3756301701068878,0.5735969543457031,0.2409040927886963,0.02409040927886963,10
MLP,depth_5_relu,0.28913265466690063,0.3039840757846832,0.44771888852119446,0.21560311317443848,0.021560311317443848,10
MLP,depth_5_silu,0.3218565583229065,0.33339011669158936,0.5151633024215698,0.2329561710357666,0.02329561710357666,10
MLP,depth_6_tanh,0.2672290503978729,0.28824952244758606,0.27611613273620605,0.2833378314971924,0.02833378314971924,10
MLP,depth_6_relu,0.02661493979394436,0.02914692647755146,0.14471125602722168,0.24167513847351074,0.024167513847351073,10
MLP,depth_6_silu,0.2987804710865021,0.31245583295822144,0.32986167073249817,0.26728010177612305,0.026728010177612303,10
SIREN,depth_2,0.41131579875946045,0.43584081530570984,0.5410134792327881,0.11231613159179688,0.011231613159179688,10
SIREN,depth_3,1.2860672313763644e-06,1.3835093568559387e-06,1.4620175079471665e-06,0.21321511268615723,0.02132151126861572,10
SIREN,depth_4,4.552756217890419e-05,5.946770397713408e-05,7.305273175006732e-05,0.24418306350708008,0.02441830635070801,10
SIREN,depth_5,0.001443107845261693,0.001967604737728834,0.08042743802070618,0.276386022567749,0.0276386022567749,10
SIREN,depth_6,3.4946075174957514e-05,4.068007183377631e-05,0.00033326182165183127,0.33669018745422363,0.033669018745422365,10
KAN,grid_3,0.28901142,0.2985928,,1.1819610595703125,0.11819610595703126,1
KAN,grid_5,0.1373938,0.13333288,,1.3194489479064941,0.13194489479064941,1
KAN,grid_10,0.020761816,0.021025635,,1.4684410095214844,0.14684410095214845,1
KAN,grid_20,0.004294902,0.0043861833,,1.505967140197754,0.1505967140197754,1
KAN,grid_50,0.0008129366,0.00084161846,,2.320449113845825,0.23204491138458253,1
KAN,grid_100,0.014548036,0.020208096,,4.365284204483032,0.4365284204483032,1
KAN_PRUNING,grid_3,0.28901142,0.2985928,,0.9375789165496826,0.09375789165496826,1
KAN_PRUNING,grid_5,0.1373938,0.13333288,,1.0009338855743408,0.10009338855743408,1
KAN_PRUNING,grid_10,0.020761816,0.021025635,,1.1635630130767822,0.11635630130767823,1
KAN_PRUNING,grid_20,0.004294902,0.0043861833,,1.3084328174591064,0.13084328174591064,1
KAN_PRUNING,grid_50,0.0008129366,0.00084161846,,2.1114916801452637,0.21114916801452638,1
KAN_PRUNING,grid_100,0.014548036,0.020208096,,3.533334970474243,0.35333349704742434,1
KAN_PRUNING,grid_pruned,0.0002116453688358888,0.00040836716652847826,0.16179384291172028,,,1
