Model,Configuration,Final Train MSE,Final Test MSE,Final Dense MSE,Total Time (s),Time per Epoch (s),Epochs
MLP,depth_2_tanh,1.2456043141373385e-10,1.2647363711870696e-10,3.398156478429115e-10,0.019631147384643555,0.0019631147384643554,10
MLP,depth_2_relu,1.2628760016897278e-11,1.3151051428406113e-11,2.5362547603435814e-05,0.01570582389831543,0.001570582389831543,10
MLP,depth_2_silu,8.690838626534969e-08,8.621475444670068e-08,1.7480989811247127e-07,0.012301921844482422,0.0012301921844482422,10
MLP,depth_3_tanh,3.907268730785063e-09,3.783585444949722e-09,5.495992105863934e-09,0.032171010971069336,0.0032171010971069336,10
MLP,depth_3_relu,1.084355982783336e-08,2.5869795194921608e-09,2.1604625644044972e-08,0.030499935150146484,0.0030499935150146485,10
MLP,depth_3_silu,3.654375632322626e-06,3.507597284624353e-06,9.888501153909601e-06,0.02517390251159668,0.002517390251159668,10
MLP,depth_4_tanh,1.115025938247527e-07,1.0384339077518234e-07,1.9967076525517768e-07,0.033577919006347656,0.0033577919006347657,10
MLP,depth_4_relu,1.4996034636283184e-08,9.580704229961157e-09,2.3197667786689635e-08,0.042688846588134766,0.0042688846588134766,10
MLP,depth_4_silu,8.98907082103051e-09,8.591122480083868e-09,3.5132039499785606e-08,0.026694297790527344,0.0026694297790527343,10
MLP,depth_5_tanh,2.2588106673993025e-07,2.1740791567026463e-07,3.94005155612831e-07,0.040622711181640625,0.004062271118164063,10
MLP,depth_5_relu,1.9136022544330444e-08,1.652088776893379e-08,3.113749258432108e-08,0.0564417839050293,0.00564417839050293,10
MLP,depth_5_silu,1.6952846237927588e-07,1.637248487895704e-07,6.341164748846495e-07,0.04426312446594238,0.004426312446594238,10
MLP,depth_6_tanh,3.833521589058364e-07,3.3066314131247054e-07,8.389572485612007e-07,0.03725886344909668,0.003725886344909668,10
MLP,depth_6_relu,8.710205179340846e-08,1.1593544257948452e-07,3.334309326419316e-07,0.04933595657348633,0.004933595657348633,10
MLP,depth_6_silu,8.794136618917037e-08,8.97973464475399e-08,2.608143461202417e-07,0.05314803123474121,0.0053148031234741214,10
SIREN,depth_2,8.57136139842396e-10,8.005234253261051e-10,1.825466777738427e-09,0.02068805694580078,0.0020688056945800783,10
SIREN,depth_3,2.868168813563443e-08,2.7938902746882377e-08,4.360967054140019e-08,0.10154604911804199,0.0101546049118042,10
SIREN,depth_4,1.2321125097969343e-07,1.1343672667862847e-07,5.971301652607508e-05,0.1627330780029297,0.016273307800292968,10
SIREN,depth_5,1.3865088632769584e-08,1.599433119281457e-08,8.30314002087107e-06,0.22664093971252441,0.022664093971252443,10
SIREN,depth_6,6.49721478112042e-05,9.198909538099542e-05,0.00012333905033301562,0.32038307189941406,0.032038307189941405,10
KAN,grid_3,0.000114605275,0.00011194671,,0.9530279636383057,0.09530279636383057,1
KAN,grid_5,3.1042266e-05,3.0499383e-05,,1.0601038932800293,0.10601038932800293,1
KAN,grid_10,9.149173e-06,9.1438e-06,,1.2362451553344727,0.12362451553344726,1
KAN,grid_20,1.5253061e-06,1.377783e-06,,0.9630038738250732,0.09630038738250732,1
KAN,grid_50,1.4985181e-06,1.3979749e-06,,1.13608717918396,0.113608717918396,1
KAN,grid_100,0.000602608,0.0038729433,,3.9683210849761963,0.39683210849761963,1
