Model,Configuration,Final Train MSE,Final Test MSE,Final Dense MSE,Total Time (s),Time per Epoch (s),Epochs
MLP,depth_2_tanh,23682.572265625,23993.296875,24981.892578125,0.10569190979003906,0.010569190979003907,10
MLP,depth_2_relu,25129.73046875,23952.341796875,23701.05859375,0.045487165451049805,0.004548716545104981,10
MLP,depth_2_silu,24635.1875,23851.640625,25328.712890625,0.12203717231750488,0.012203717231750488,10
MLP,depth_3_tanh,24630.0390625,24306.0078125,24242.806640625,0.16440868377685547,0.016440868377685547,10
MLP,depth_3_relu,24703.693359375,23935.65625,24543.775390625,0.14444208145141602,0.014444208145141602,10
MLP,depth_3_silu,24083.587890625,23114.69921875,26465.5078125,0.15612125396728516,0.015612125396728516,10
MLP,depth_4_tanh,23672.28515625,23736.267578125,23856.06640625,0.1717970371246338,0.017179703712463378,10
MLP,depth_4_relu,24690.1015625,23738.564453125,24053.294921875,0.12338113784790039,0.01233811378479004,10
MLP,depth_4_silu,25115.322265625,23983.0390625,24277.130859375,0.05278897285461426,0.005278897285461426,10
MLP,depth_5_tanh,24642.1796875,23454.876953125,23511.509765625,0.19986891746520996,0.019986891746520997,10
MLP,depth_5_relu,,,,0.13518786430358887,0.013518786430358887,10
MLP,depth_5_silu,25179.12890625,24053.66015625,23930.6171875,0.07433867454528809,0.007433867454528809,10
MLP,depth_6_tanh,24999.08203125,23870.119140625,24020.109375,0.2428278923034668,0.02428278923034668,10
MLP,depth_6_relu,25126.9921875,23973.267578125,24064.556640625,0.12782692909240723,0.012782692909240723,10
MLP,depth_6_silu,,,,0.0885920524597168,0.008859205245971679,10
SIREN,depth_2,11965.3701171875,13295.1298828125,14030.212890625,0.1060488224029541,0.01060488224029541,10
SIREN,depth_3,14545.9453125,14163.6171875,14765.6142578125,0.1886899471282959,0.01886899471282959,10
SIREN,depth_4,18139.966796875,17707.56640625,17147.73828125,0.26971006393432617,0.02697100639343262,10
SIREN,depth_5,23263.310546875,22277.154296875,22337.4453125,0.3181610107421875,0.03181610107421875,10
SIREN,depth_6,22812.796875,21985.888671875,21208.587890625,0.33343505859375,0.033343505859375,10
KAN,grid_3,152.64162,154.01039,,1.1056718826293945,0.11056718826293946,1
KAN,grid_5,120.78485,129.25172,,1.1975512504577637,0.11975512504577637,1
KAN,grid_10,78.12306,85.867455,,1.4085559844970703,0.14085559844970702,1
KAN,grid_20,47.358326,57.924355,,1.5354678630828857,0.15354678630828858,1
KAN,grid_50,30.686848,47.48944,,2.2844130992889404,0.22844130992889405,1
KAN,grid_100,22.733671,49.017452,,4.073768138885498,0.4073768138885498,1
