Model,Configuration,Final Train MSE,Final Test MSE,Final Dense MSE,Total Time (s),Time per Epoch (s),Epochs
MLP,depth_2_tanh,23763.49609375,24199.84375,24569.0078125,0.12522006034851074,0.012522006034851074,10
MLP,depth_2_relu,24023.68359375,23870.4375,23651.57421875,0.12962889671325684,0.012962889671325684,10
MLP,depth_2_silu,24745.025390625,23831.6484375,24413.7578125,0.076873779296875,0.0076873779296875,10
MLP,depth_3_tanh,24626.640625,23964.76953125,24162.951171875,0.18546390533447266,0.018546390533447265,10
MLP,depth_3_relu,24510.72265625,23759.48828125,24379.021484375,0.13339900970458984,0.013339900970458984,10
MLP,depth_3_silu,23938.546875,22858.826171875,25902.853515625,0.12981605529785156,0.012981605529785157,10
MLP,depth_4_tanh,23232.90234375,23269.90234375,23684.234375,0.19735312461853027,0.019735312461853026,10
MLP,depth_4_relu,25033.271484375,24112.181640625,24195.814453125,0.08649873733520508,0.008649873733520507,10
MLP,depth_4_silu,25115.322265625,23983.0390625,24277.1328125,0.062438249588012695,0.0062438249588012695,10
MLP,depth_5_tanh,24130.53125,23509.873046875,23567.76171875,0.24882292747497559,0.024882292747497557,10
MLP,depth_5_relu,23043.818359375,22647.603515625,23533.494140625,0.19423604011535645,0.019423604011535645,10
MLP,depth_5_silu,25179.724609375,24053.439453125,23930.4453125,0.06741690635681152,0.0067416906356811525,10
MLP,depth_6_tanh,25114.328125,23928.9765625,24060.60546875,0.266268253326416,0.0266268253326416,10
MLP,depth_6_relu,25063.837890625,23842.591796875,24101.65625,0.19153523445129395,0.019153523445129394,10
MLP,depth_6_silu,25151.82421875,24063.119140625,23704.91796875,0.08552384376525879,0.00855238437652588,10
SIREN,depth_2,12833.1259765625,12810.3623046875,13906.17578125,0.15045905113220215,0.015045905113220214,10
SIREN,depth_3,20313.611328125,19475.009765625,19653.94140625,0.20837092399597168,0.02083709239959717,10
SIREN,depth_4,23335.998046875,22405.37109375,21908.037109375,0.2580139636993408,0.02580139636993408,10
SIREN,depth_5,24193.421875,23136.548828125,23098.388671875,0.31319689750671387,0.031319689750671384,10
SIREN,depth_6,23945.08984375,22939.7734375,22150.484375,0.38170814514160156,0.038170814514160156,10
KAN,grid_3,142.19292,149.35863,,1.642099142074585,0.1642099142074585,1
KAN,grid_5,111.13837,126.6136,,1.9357469081878662,0.19357469081878662,1
KAN,grid_10,72.72596,82.3989,,2.0423429012298584,0.20423429012298583,1
KAN,grid_20,43.898277,49.45894,,2.5072710514068604,0.250727105140686,1
KAN,grid_50,30.550287,43.839115,,3.3485209941864014,0.33485209941864014,1
KAN,grid_100,25.209473,49.282166,,5.339422941207886,0.5339422941207885,1
