Model,Configuration,Final Train MSE,Final Test MSE,Final Dense MSE,Total Time (s),Time per Epoch (s),Epochs
MLP,depth_2_tanh,9496.513671875,8899.771484375,9506.84375,0.10387206077575684,0.010387206077575683,10
MLP,depth_2_relu,11144.751953125,10569.6279296875,14280.7138671875,0.03296303749084473,0.003296303749084473,10
MLP,depth_2_silu,10873.6396484375,10448.4541015625,13453.5380859375,0.09929203987121582,0.009929203987121582,10
MLP,depth_3_tanh,10856.966796875,10277.4404296875,11459.60546875,0.14658212661743164,0.014658212661743164,10
MLP,depth_3_relu,,,,0.08272099494934082,0.008272099494934081,10
MLP,depth_3_silu,11013.4921875,10404.1494140625,10628.8759765625,0.11748099327087402,0.011748099327087402,10
MLP,depth_4_tanh,10174.412109375,9539.8115234375,10005.896484375,0.2099621295928955,0.02099621295928955,10
MLP,depth_4_relu,6491.44580078125,6349.85009765625,8383.5732421875,0.14439702033996582,0.014439702033996582,10
MLP,depth_4_silu,5642.49560546875,5055.455078125,8144.58251953125,0.1435229778289795,0.01435229778289795,10
MLP,depth_5_tanh,10393.759765625,10559.4716796875,10792.78515625,0.22718191146850586,0.022718191146850586,10
MLP,depth_5_relu,11723.8623046875,11278.4404296875,13153.7392578125,0.05144309997558594,0.005144309997558594,10
MLP,depth_5_silu,11333.876953125,10925.748046875,13401.4580078125,0.16026687622070312,0.016026687622070313,10
MLP,depth_6_tanh,11103.5009765625,10211.3037109375,11241.478515625,0.2490530014038086,0.024905300140380858,10
MLP,depth_6_relu,,,,0.11020994186401367,0.011020994186401368,10
MLP,depth_6_silu,8732.76171875,8504.95703125,9434.5302734375,0.18847894668579102,0.018847894668579102,10
SIREN,depth_2,842.8707275390625,827.6682739257812,874.8209838867188,0.12383222579956055,0.012383222579956055,10
SIREN,depth_3,9089.7724609375,8833.9873046875,8775.4306640625,0.20773625373840332,0.02077362537384033,10
SIREN,depth_4,7919.626953125,7718.19970703125,7635.8798828125,0.25856518745422363,0.025856518745422365,10
SIREN,depth_5,11539.134765625,11216.697265625,11114.9228515625,0.30986690521240234,0.030986690521240236,10
SIREN,depth_6,11839.8681640625,11510.603515625,11419.82421875,0.36372923851013184,0.036372923851013185,10
KAN,grid_3,27.33379,27.65268,,1.5769779682159424,0.15769779682159424,1
KAN,grid_5,8.546028,8.413349,,1.8336219787597656,0.18336219787597657,1
KAN,grid_10,1.7097785,1.7028171,,1.9335780143737793,0.19335780143737794,1
KAN,grid_20,0.37066367,0.373237,,2.0316641330718994,0.20316641330718993,1
KAN,grid_50,0.059512205,0.060906008,,2.9791369438171387,0.2979136943817139,1
KAN,grid_100,48.045017,56.99595,,5.28180718421936,0.528180718421936,1
