Model,Configuration,Final Train MSE,Final Test MSE,Final Dense MSE,Total Time (s),Time per Epoch (s),Epochs
MLP,depth_2_tanh,0.07062658667564392,0.07555919885635376,1.049796223640442,0.15836024284362793,0.015836024284362794,10
MLP,depth_2_relu,0.08011522144079208,0.08450157195329666,0.08712927252054214,0.05377697944641113,0.0053776979446411135,10
MLP,depth_2_silu,0.06709691137075424,0.07367506623268127,0.24781647324562073,0.16009187698364258,0.016009187698364256,10
MLP,depth_3_tanh,0.06967673450708389,0.07595323771238327,0.1493101865053177,0.1913599967956543,0.01913599967956543,10
MLP,depth_3_relu,0.06711196154356003,0.06901486963033676,0.07436040788888931,0.1381378173828125,0.01381378173828125,10
MLP,depth_3_silu,0.06666537374258041,0.0733981803059578,0.253475546836853,0.18056893348693848,0.01805689334869385,10
MLP,depth_4_tanh,0.07371000945568085,0.07947621494531631,0.5111027956008911,0.2527480125427246,0.02527480125427246,10
MLP,depth_4_relu,0.07021776586771011,0.07157920300960541,0.1069045439362526,0.18999075889587402,0.0189990758895874,10
MLP,depth_4_silu,0.0554853118956089,0.06318707019090652,0.2795553505420685,0.20937275886535645,0.020937275886535645,10
MLP,depth_5_tanh,0.07758807390928268,0.08131848275661469,0.09886007010936737,0.25362491607666016,0.025362491607666016,10
MLP,depth_5_relu,0.06941171735525131,0.07578583061695099,0.11902227997779846,0.18740415573120117,0.018740415573120117,10
MLP,depth_5_silu,0.068671315908432,0.07559800893068314,0.2006666511297226,0.2344977855682373,0.02344977855682373,10
MLP,depth_6_tanh,0.07288569957017899,0.07849408686161041,0.12196344882249832,0.2770359516143799,0.02770359516143799,10
MLP,depth_6_relu,0.0581602118909359,0.062391284853219986,0.1628643125295639,0.23526501655578613,0.023526501655578614,10
MLP,depth_6_silu,0.05966498702764511,0.06544063985347748,0.19217684864997864,0.2657630443572998,0.026576304435729982,10
SIREN,depth_2,0.06812483817338943,0.0737580731511116,0.11755935102701187,0.08477902412414551,0.008477902412414551,10
SIREN,depth_3,0.01162166427820921,0.016320355236530304,0.03800637274980545,0.21053791046142578,0.021053791046142578,10
SIREN,depth_4,0.007450091652572155,0.011215228587388992,0.01713212952017784,0.24030208587646484,0.024030208587646484,10
SIREN,depth_5,0.0005346017424017191,0.0020847520790994167,0.002012731973081827,0.2800157070159912,0.028001570701599122,10
SIREN,depth_6,0.006604948081076145,0.018026167526841164,0.03237490355968475,0.34314393997192383,0.03431439399719238,10
KAN,grid_3,0.18069607,0.19859324,,1.19706392288208,0.11970639228820801,1
KAN,grid_5,0.16045615,0.18049783,,1.3569221496582031,0.13569221496582032,1
KAN,grid_10,0.11230243,0.13251297,,1.3640460968017578,0.1364046096801758,1
KAN,grid_20,0.062427934,0.08534375,,1.5581462383270264,0.15581462383270264,1
KAN,grid_50,0.03401579,0.062013194,,2.314776659011841,0.23147766590118407,1
KAN,grid_100,0.021273917,0.07144816,,4.039853096008301,0.40398530960083007,1
KAN_PRUNING,grid_3,0.18069607,0.19859324,,0.9798288345336914,0.09798288345336914,1
KAN_PRUNING,grid_5,0.16045615,0.18049783,,1.1635010242462158,0.11635010242462158,1
KAN_PRUNING,grid_10,0.11230243,0.13251297,,1.2217762470245361,0.12217762470245361,1
KAN_PRUNING,grid_20,0.062427934,0.08534375,,1.3051421642303467,0.13051421642303468,1
KAN_PRUNING,grid_50,0.03401579,0.062013194,,1.9874250888824463,0.19874250888824463,1
KAN_PRUNING,grid_100,0.021273917,0.07144816,,2.986783027648926,0.2986783027648926,1
KAN_PRUNING,grid_pruned,0.0004525795520748943,0.005104840733110905,0.06388475000858307,,,1
