Model,Configuration,Final Train MSE,Final Test MSE,Final Dense MSE,Total Time (s),Time per Epoch (s),Epochs
MLP,depth_2_tanh,0.002554349834099412,0.002464171964675188,0.006250609643757343,0.2070918083190918,0.02070918083190918,10
MLP,depth_2_relu,0.14719437062740326,0.13516809046268463,0.34030869603157043,0.054773569107055664,0.005477356910705567,10
MLP,depth_2_silu,0.0620693564414978,0.061340268701314926,0.13419649004936218,0.17592597007751465,0.017592597007751464,10
MLP,depth_3_tanh,0.00040041410829871893,0.00035334841231815517,0.002618107944726944,0.21424484252929688,0.021424484252929688,10
MLP,depth_3_relu,0.004702907521277666,0.005006047897040844,0.009218626655638218,0.11561322212219238,0.011561322212219238,10
MLP,depth_3_silu,3.5948037293564994e-06,3.178999349984224e-06,0.00035590349580161273,0.19036006927490234,0.019036006927490235,10
MLP,depth_4_tanh,0.00020497478544712067,0.00020325490913819522,0.0019759228453040123,0.23728108406066895,0.023728108406066893,10
MLP,depth_4_relu,0.0030784360133111477,0.0032523784320801497,0.006575731094926596,0.19547200202941895,0.019547200202941893,10
MLP,depth_4_silu,4.024184090667404e-05,4.0009868826018646e-05,0.00027594968560151756,0.218217134475708,0.0218217134475708,10
MLP,depth_5_tanh,0.0009899999713525176,0.0009428729536011815,0.009786147624254227,0.2586510181427002,0.02586510181427002,10
MLP,depth_5_relu,0.021787164732813835,0.017955467104911804,0.07146613299846649,0.22630906105041504,0.022630906105041503,10
MLP,depth_5_silu,4.736622031487059e-06,4.654653821489774e-06,0.00024783489061519504,0.23628902435302734,0.023628902435302735,10
MLP,depth_6_tanh,0.4248424768447876,0.41232532262802124,0.445997953414917,0.15329813957214355,0.015329813957214356,10
MLP,depth_6_relu,0.4989158809185028,0.48258036375045776,0.4657294452190399,0.02050614356994629,0.002050614356994629,10
MLP,depth_6_silu,1.123360902965942e-06,1.0980728575304965e-06,0.0001956219202838838,0.2654609680175781,0.02654609680175781,10
SIREN,depth_2,1.098597990356609e-09,1.0346965506613515e-09,1.5926807650501473e-09,0.04701495170593262,0.004701495170593262,10
SIREN,depth_3,0.0009674482280388474,0.0010291244834661484,0.003309145336970687,0.21863317489624023,0.021863317489624022,10
SIREN,depth_4,4.98246549796022e-07,4.870097995990363e-07,0.00037844834150746465,0.20540499687194824,0.020540499687194826,10
SIREN,depth_5,2.1578674932243302e-05,2.2691941921948455e-05,0.0003269405278842896,0.2929649353027344,0.029296493530273436,10
SIREN,depth_6,1.6361346979465452e-06,1.7548436517245136e-06,0.00024446577299386263,0.32680392265319824,0.032680392265319824,10
KAN,grid_3,0.014801503,0.01504284,,1.0355608463287354,0.10355608463287354,1
KAN,grid_5,0.0023492943,0.0022958876,,1.1936850547790527,0.11936850547790527,1
KAN,grid_10,0.00067639793,0.0006779049,,1.2253670692443848,0.12253670692443848,1
KAN,grid_20,0.00011640749,0.00011024842,,1.2430200576782227,0.12430200576782227,1
KAN,grid_50,7.453231e-06,8.693891e-06,,1.7526519298553467,0.17526519298553467,1
KAN,grid_100,0.004786937,0.0075731785,,3.7029030323028564,0.37029030323028567,1
KAN_PRUNING,grid_3,0.014801503,0.01504284,,0.9656541347503662,0.09656541347503662,1
KAN_PRUNING,grid_5,0.0023492943,0.0022958876,,0.9950478076934814,0.09950478076934814,1
KAN_PRUNING,grid_10,0.00067639793,0.0006779049,,1.1920828819274902,0.11920828819274902,1
KAN_PRUNING,grid_20,0.00011640749,0.00011024842,,1.2104239463806152,0.12104239463806152,1
KAN_PRUNING,grid_50,7.453231e-06,8.693891e-06,,1.7745311260223389,0.1774531126022339,1
KAN_PRUNING,grid_100,0.004786937,0.0075731785,,3.540335178375244,0.3540335178375244,1
KAN_PRUNING,grid_pruned,2.2914762666914612e-05,5.735303057008423e-05,0.07066872715950012,,,1
