Model,Configuration,Final Train MSE,Final Test MSE,Final Dense MSE,Total Time (s),Time per Epoch (s),Epochs
MLP,depth_2_tanh,9549.4609375,9020.8681640625,9663.1748046875,0.08829712867736816,0.008829712867736816,10
MLP,depth_2_relu,10628.578125,10108.34375,15037.88671875,0.07806897163391113,0.007806897163391113,10
MLP,depth_2_silu,9525.322265625,9276.00390625,12023.1162109375,0.09617400169372559,0.00961740016937256,10
MLP,depth_3_tanh,10898.0654296875,9955.75390625,10776.77734375,0.13802099227905273,0.013802099227905273,10
MLP,depth_3_relu,8929.1005859375,8827.1796875,11369.6806640625,0.09335517883300781,0.009335517883300781,10
MLP,depth_3_silu,12437.330078125,12042.595703125,12234.97265625,0.05815386772155762,0.005815386772155762,10
MLP,depth_4_tanh,9177.494140625,8138.28857421875,10758.26171875,0.17561078071594238,0.01756107807159424,10
MLP,depth_4_relu,8963.9365234375,8602.4013671875,10426.4150390625,0.125291109085083,0.012529110908508301,10
MLP,depth_4_silu,8971.1162109375,8130.3798828125,11385.8115234375,0.1449720859527588,0.014497208595275878,10
MLP,depth_5_tanh,10305.228515625,10560.7099609375,11666.1318359375,0.1923828125,0.01923828125,10
MLP,depth_5_relu,11723.8623046875,11278.4404296875,13153.7529296875,0.0519869327545166,0.0051986932754516605,10
MLP,depth_5_silu,8404.5322265625,8465.0166015625,10571.78515625,0.18152904510498047,0.018152904510498048,10
MLP,depth_6_tanh,12058.6689453125,11206.9306640625,12067.7451171875,0.17870306968688965,0.017870306968688965,10
MLP,depth_6_relu,11878.49609375,11472.3203125,12523.29296875,0.13640213012695312,0.013640213012695312,10
MLP,depth_6_silu,9704.544921875,9669.2802734375,10270.2685546875,0.1705620288848877,0.017056202888488768,10
SIREN,depth_2,2965.509765625,2901.65087890625,2879.430908203125,0.06531524658203125,0.006531524658203125,10
SIREN,depth_3,8647.7587890625,8458.50390625,8401.53515625,0.188493013381958,0.0188493013381958,10
SIREN,depth_4,8015.97509765625,7778.3388671875,8085.0234375,0.22402000427246094,0.022402000427246094,10
SIREN,depth_5,11807.501953125,11477.1904296875,11369.677734375,0.26899099349975586,0.026899099349975586,10
SIREN,depth_6,12056.65625,11730.6171875,11613.4833984375,0.30980682373046875,0.030980682373046874,10
KAN,grid_3,10.684929,10.786922,,0.9437057971954346,0.09437057971954346,1
KAN,grid_5,6.1931696,6.2208495,,1.1096887588500977,0.11096887588500977,1
KAN,grid_10,24.967781,25.769964,,1.2408421039581299,0.124084210395813,1
KAN,grid_20,6.3516064,6.8460746,,1.380237102508545,0.1380237102508545,1
KAN,grid_50,21.72165,22.752136,,2.070564031600952,0.20705640316009521,1
KAN,grid_100,18.268948,19.131018,,3.9152638912200928,0.39152638912200927,1
