Model,Configuration,Final Train MSE,Final Test MSE,Final Dense MSE,Total Time (s),Time per Epoch (s),Epochs
MLP,depth_2_tanh,1.2168349712737836e-05,1.1345134225848597e-05,0.00032005077810026705,0.14444899559020996,0.014444899559020997,10
MLP,depth_2_relu,14.851240158081055,14.599638938903809,23.376562118530273,0.04007101058959961,0.004007101058959961,10
MLP,depth_2_silu,0.27195504307746887,0.2393302470445633,3.9722750186920166,0.14767694473266602,0.014767694473266601,10
MLP,depth_3_tanh,0.0009175334707833827,0.0009228283888660371,0.0140175586566329,0.18511199951171875,0.018511199951171876,10
MLP,depth_3_relu,0.08129424601793289,0.07757323235273361,0.38191714882850647,0.11553120613098145,0.011553120613098145,10
MLP,depth_3_silu,2.8382983146002516e-05,2.8652193577727303e-05,0.0021206482779234648,0.1773390769958496,0.01773390769958496,10
MLP,depth_4_tanh,8.21231005829759e-05,8.549603808205575e-05,0.001290524611249566,0.2176499366760254,0.02176499366760254,10
MLP,depth_4_relu,3.1278343200683594,3.2114479541778564,6.142184257507324,0.14045095443725586,0.014045095443725586,10
MLP,depth_4_silu,0.00046887306962162256,0.0004535015323199332,0.02061186544597149,0.20261883735656738,0.02026188373565674,10
MLP,depth_5_tanh,0.001982978079468012,0.0018457738915458322,0.016080209985375404,0.2413339614868164,0.02413339614868164,10
MLP,depth_5_relu,3.2751576900482178,2.971487283706665,6.085921764373779,0.21541690826416016,0.021541690826416014,10
MLP,depth_5_silu,0.0001696119870757684,0.0001682227593846619,0.0031291362829506397,0.23259997367858887,0.023259997367858887,10
MLP,depth_6_tanh,3.337815523147583,3.0434060096740723,6.525726795196533,0.25988101959228516,0.025988101959228516,10
MLP,depth_6_relu,3.1190202236175537,3.202425718307495,6.127633571624756,0.24076318740844727,0.024076318740844725,10
MLP,depth_6_silu,4.918519698549062e-05,4.803563206223771e-05,0.0008178498246707022,0.2216782569885254,0.02216782569885254,10
SIREN,depth_2,2.198445827161777e-06,2.3906015940156067e-06,1.4203244063537568e-05,0.1616530418395996,0.01616530418395996,10
SIREN,depth_3,1.895538568496704,2.157881259918213,2.100550889968872,0.18531513214111328,0.01853151321411133,10
SIREN,depth_4,3.9995615482330322,6.870858192443848,7.199259281158447,0.2470390796661377,0.02470390796661377,10
SIREN,depth_5,24.687549591064453,25.35443878173828,23.79496955871582,0.24613285064697266,0.024613285064697267,10
SIREN,depth_6,14.712051391601562,16.55037498474121,16.921646118164062,0.32327890396118164,0.032327890396118164,10
KAN,grid_3,0.0150882425,0.015021608,,0.9057128429412842,0.09057128429412842,1
KAN,grid_5,0.008983572,0.008944317,,1.1093242168426514,0.11093242168426513,1
KAN,grid_10,0.0008869399,0.0008758382,,1.0708088874816895,0.10708088874816894,1
KAN,grid_20,0.00014378678,0.0001357271,,1.1824049949645996,0.11824049949645996,1
KAN,grid_50,2.8333778e-05,2.8837945e-05,,1.760261058807373,0.1760261058807373,1
KAN,grid_100,1.4336787e-05,1.7227465e-05,,2.0440611839294434,0.20440611839294434,1
